defenseTeam,Adj_Def_SP,Adj_Rushing,Adj_Passing,year,new_coach,Off_Ratings
Buffalo,31.6,87.1,86.4,2015,1,25.2
Central Michigan,27.3,94.2,98.3,2015,1,26.4
Colorado State,31.9,89.3,92.5,2015,1,28.3
Florida,16.5,121.8,123.8,2015,1,27.7
Houston,28.2,112.8,95.7,2015,1,34.1
Kansas,39.9,81,90.8,2015,1,20.3
Michigan,13.6,110.4,121.9,2015,1,33.1
Nebraska,26.6,110.4,95,2015,1,34.9
Oregon State,34.4,90.2,86.8,2015,1,24.5
Pittsburgh,26,103.8,115.3,2015,1,31.9
SMU,39.2,79.6,82,2015,1,28.7
Troy,29.9,98.2,94.4,2015,1,24.8
Tulsa,40.1,81.7,84,2015,1,32.8
UNLV,37.3,78.8,85.1,2015,1,25.1
Wisconsin,15.4,120.6,125.6,2015,1,25.4
Ball State,34.6,97.5,99.4,2016,1,29.4
Bowling Green,37.1,96.4,85.4,2016,1,25.3
BYU,23.6,126.4,96.8,2016,1,29.5
Central Florida,23.7,96.8,116.6,2016,1,20.5
East Carolina,35.3,85,88.4,2016,1,28.7
Georgia,24.4,113.3,111.6,2016,1,25.3
Georgia Southern,30.5,95.3,91.7,2016,1,23.9
Hawaii,36.2,94.2,93,2016,1,28
Illinois,28.4,82.9,94,2016,1,21.8
Iowa State,33.1,90.1,99.8,2016,1,32.4
Maryland,30.7,76.2,95.5,2016,1,26.3
Memphis,30,90.1,101.7,2016,1,34.3
Miami-FL,19.6,114.2,129.2,2016,1,34.6
Minnesota,22.3,117.3,113.7,2016,1,26.9
Missouri,32.5,89.6,98.1,2016,1,33.2
North Texas,33.1,89.4,101.1,2016,1,22.7
Rutgers,28.1,92.4,92.4,2016,1,16.9
South Carolina,27.4,99.1,104.1,2016,1,23.1
Southern Miss,31.6,95.8,102.7,2016,1,27
Syracuse,32.6,87.8,87.2,2016,1,31.6
Texas State,41.2,82.2,74.6,2016,1,14.5
Toledo,30,98.3,104.8,2016,1,38.1
Tulane,27.1,106,104,2016,1,19
UL-Monroe,40.3,73,87.1,2016,1,22.6
USC,20.9,119.8,119.8,2016,1,39.2
UTSA,32.6,107.6,96.6,2016,1,24.4
Virginia,30.5,102.2,93.2,2016,1,25.8
Virginia Tech,20.2,108,123.2,2016,1,32
Baylor,33.2,94.7,94.5,2017,1,26.4
California,29.2,97.2,100.9,2017,1,26.6
Cincinnati,30.1,96.1,92,2017,1,24.9
Connecticut,38.3,89.7,84.2,2017,1,27.4
Florida Atlantic,27.3,94.2,102.6,2017,1,38.8
Florida International,31,88.4,81.1,2017,1,27.4
Fresno State,20.5,104.9,99,2017,1,28.1
Georgia State,27.2,108.5,85.3,2017,1,23
Houston,25.3,111.9,100.4,2017,1,31.2
Indiana,22.4,114.1,114,2017,1,25.3
LSU,21.1,116.8,112.8,2017,1,30.5
